hit_rate,player,defender
1.0,luke babbitt,"Butler, Jimmy"
1.0,al jefferson,"Seraphin, Kevin"
1.0,michael kidd-gilchrist,"Ariza, Trevor"
1.0,enes kanter,"Thomas, Lance"
1.0,trey burke,"Lopez, Brook"
1.0,rudy gobert,"Bradley, Avery"
1.0,carlos boozer,"Allen, Tony"
1.0,jeremy lin,"Stuckey, Rodney"
1.0,ed davis,"Shumpert, Iman"
1.0,ronnie price,"Conley, Mike"
1.0,jordan hill,"Antetokounmpo, Giannis"
1.0,nick young,"Henson, John"
1.0,nick young,"Sessions, Ramon"
1.0,robert sacre,"Maxiell, Jason"
1.0,kyle korver,"Middleton, Khris"
1.0,kris humphries,"Mirotic, Nikola"
1.0,jrue holiday,"Smith, Jason"
1.0,ryan anderson,"Crowder, Jae"
1.0,jimmer dredette,"Robinson, Thomas"
1.0,kyle lowry,"Teletovic, Mirza"
1.0,terrence ross,"Terry, Jason"
1.0,terrence ross,"Rose, Derrick"
1.0,al jefferson,"Prigioni, Pablo"
1.0,al jefferson,"Middleton, Khris"
1.0,trevor booker,"Koufos, Kosta"
1.0,dante exum,"Bazemore, Kent"
1.0,kobe bryant,"Bonner, Matt"
1.0,marreese speights,"Millsap, Elijah"
1.0,paul millsap,"Papanikolaou, Kostas"
1.0,jeff teague,"Hayes, Charles"
1.0,demarre carroll,"Kidd-Gilchrist, Michael"
1.0,marcin gortat,"Kaman, Chris"
1.0,kris humphries,"Horford, Al"
1.0,john wall,"Splitter, Tiago"
1.0,tyreke evans,"Young, Thaddeus"
1.0,tyreke evans,"O'Quinn, Kyle"
1.0,anthony davis,"Allen, Tony"
1.0,dante cunningham,"Griffin, Blake"
1.0,alexis ajinca,"Monroe, Greg"
1.0,gerald henderson,"Sims, Henry"
1.0,michael kidd-gilchrist,"Vasquez, Greivis"
1.0,lance stephenson,"Dellavedova, Matthew"
1.0,marvin williams,"Hibbert, Roy"
1.0,gordon hayward,"Williams, Reggie"
1.0,gordon hayward,"Vasquez, Greivis"
1.0,trevor booker,"Thompson, Tristan"
1.0,enes kanter,"Bennett, Anthony"
1.0,enes kanter,"Lamb, Jeremy"
1.0,jon ingles,"Aldridge, LaMarcus"
1.0,wayne ellington,"Galloway, Langston"
1.0,stephen curry,"Stauskas, Nik"
1.0,andre iguodala,"Henderson, Gerald"
1.0,paul millsap,"Stuckey, Rodney"
1.0,otto porter,"Lopez, Brook"
1.0,bradley beal,"Bryant, Kobe"
1.0,garrett temple,"Allen, Lavoy"
1.0,rasual butler,"DeRozan, DeMar"
1.0,omer asik,"Oladipo, Victor"
1.0,omer asik,"Love, Kevin"
1.0,jrue holiday,"McCallum, Ray"
1.0,kyle lowry,"Speights, Marreese"
1.0,terrence ross,"Sessions, Ramon"
1.0,gary neal,"Allen, Tony"
1.0,gordon hayward,"Harris, Devin"
1.0,enes kanter,"Mayo, O.J."
1.0,dante exum,"Cunningham, Dante"
1.0,ed davis,"Rondo, Rajon"
1.0,ronnie price,"Faried, Kenneth"
1.0,marreese speights,"Kaman, Chris"
1.0,pero antic,"Henson, John"
1.0,demarre carroll,"Nowitzki, Dirk"
1.0,otto porter,"Babbitt, Luke"
1.0,john wall,"Bayless, Jerryd"
1.0,jrue holiday,"Lee, Courtney"
1.0,ryan anderson,"Barton, Will"
1.0,jimmer dredette,"Henderson, Gerald"
1.0,terrence ross,"Gibson, Taj"
1.0,gary neal,"Ridnour, Luke"
1.0,gerald henderson,"Marshall, Kendall"
1.0,gordon hayward,"Biyombo, Bismack"
1.0,jordan hill,"Hawes, Spencer"
1.0,al horford,"Williams, Deron"
1.0,kent bazemore,"Whiteside, Hassan"
1.0,kent bazemore,"Brooks, Aaron"
1.0,otto porter,"Ellington, Wayne"
1.0,kris humphries,"Payton, Elfrid"
1.0,andre miller,"Allen, Lavoy"
1.0,andre miller,"Ridnour, Luke"
1.0,rasual butler,"Lawson, Ty"
1.0,nene hilario,"Kanter, Enes"
1.0,ryan anderson,"Jerebko, Jonas"
1.0,ryan anderson,"Harris, Tobias"
1.0,dante cunningham,"Morrow, Anthony"
1.0,cody zeller,"Henson, John"
1.0,michael kidd-gilchrist,"Smith, Josh"
1.0,dante exum,"Ennis, Tyler"
1.0,jeremy lin,"Crawford, Jamal"
1.0,andrew bogut,"Monroe, Greg"
1.0,draymond green,"Davis, Ed"
1.0,al horford,"Black, Tarik"
1.0,kyle korver,"Hill, Jordan"
1.0,otto porter,"Aminu, Al-Farouq"
1.0,otto porter,"Marshall, Kendall"
1.0,dante cunningham,"Bledsoe, Eric"
1.0,trevor booker,"Thomas, Isaiah"
1.0,dante exum,"Foye, Randy"
1.0,jon ingles,"Antetokounmpo, Giannis"
1.0,jeremy lin,"Calderon, Jose"
1.0,harrison barnes,"Blake, Steve"
1.0,stephen curry,"Henson, John"
1.0,stephen curry,"Jerebko, Jonas"
1.0,klay thompson,"Green, Willie"
1.0,draymond green,"Batum, Nicolas"
1.0,thabo sefolosha,"Maxiell, Jason"
1.0,kyle korver,"Haslem, Udonis"
